<cur_step>,<num_susceptible>,<num_infected>,<num_recovered>
1,49,1,0
2,49,1,0
3,49,1,0
4,49,1,0
5,49,1,0
6,49,1,0
7,49,1,0
8,49,1,0
9,49,1,0
10,49,1,0
11,49,1,0
12,49,1,0
13,49,1,0
14,49,1,0
15,49,1,0
16,49,1,0
17,49,1,0
18,49,1,0
19,49,1,0
20,49,1,0
21,49,1,0
22,49,1,0
23,49,1,0
24,49,1,0
25,49,1,0
26,49,1,0
27,49,1,0
28,49,1,0
29,49,1,0
30,49,1,0
31,49,1,0
32,49,1,0
33,49,1,0
34,49,1,0
35,49,1,0
36,49,1,0
37,49,1,0
38,49,1,0
39,49,1,0
40,49,1,0
41,49,1,0
42,49,1,0
43,49,1,0
44,49,1,0
45,49,1,0
46,49,1,0
47,49,1,0
48,49,1,0
49,49,1,0
50,49,1,0
51,49,1,0
52,49,1,0
53,49,1,0
54,49,1,0
55,49,1,0
56,49,1,0
57,49,1,0
58,49,1,0
59,49,1,0
60,49,1,0
61,49,1,0
62,49,1,0
63,49,1,0
64,49,1,0
65,49,1,0
66,49,1,0
67,49,1,0
68,49,1,0
69,49,1,0
70,49,1,0
71,49,1,0
72,49,1,0
73,49,1,0
74,49,1,0
75,49,1,0
76,49,1,0
77,49,1,0
78,49,1,0
79,49,1,0
80,49,1,0
81,49,1,0
82,49,1,0
83,49,1,0
84,49,1,0
85,49,1,0
86,49,1,0
87,49,1,0
88,49,1,0
89,49,1,0
90,49,1,0
91,49,1,0
92,49,1,0
93,49,1,0
94,49,1,0
95,49,1,0
96,49,1,0
97,49,1,0
98,49,1,0
99,49,1,0
100,49,1,0
101,49,1,0
102,49,1,0
103,49,1,0
104,49,1,0
105,49,1,0
106,49,1,0
107,49,1,0
108,49,1,0
109,49,1,0
110,49,1,0
111,49,1,0
112,49,1,0
113,49,1,0
114,49,1,0
115,49,1,0
116,49,1,0
117,49,1,0
118,49,1,0
119,49,1,0
120,49,1,0
121,49,1,0
122,49,1,0
123,49,1,0
124,49,1,0
125,49,1,0
126,49,1,0
127,49,1,0
128,49,1,0
129,49,1,0
130,49,1,0
131,49,1,0
132,49,1,0
133,49,1,0
134,49,1,0
135,49,1,0
136,49,1,0
137,49,1,0
138,49,1,0
139,49,1,0
140,49,1,0
141,49,1,0
142,49,1,0
143,49,1,0
144,49,1,0
145,49,1,0
146,49,1,0
147,49,1,0
148,49,1,0
149,49,1,0
150,49,1,0
151,49,1,0
152,49,1,0
153,49,1,0
154,49,1,0
155,49,1,0
156,49,1,0
157,49,1,0
158,49,1,0
159,49,1,0
160,49,1,0
161,49,1,0
162,49,1,0
163,49,1,0
164,49,1,0
165,49,1,0
166,49,1,0
167,49,1,0
168,49,1,0
169,49,1,0
170,49,1,0
171,49,1,0
172,49,1,0
173,49,1,0
174,49,1,0
175,49,1,0
176,49,1,0
177,49,1,0
178,49,1,0
179,49,1,0
180,49,1,0
181,49,1,0
182,49,1,0
183,49,1,0
184,49,1,0
185,49,1,0
186,49,1,0
187,49,1,0
188,49,1,0
189,49,1,0
190,49,1,0
191,49,1,0
192,49,1,0
193,49,1,0
194,49,1,0
195,49,1,0
196,49,1,0
197,49,1,0
198,49,1,0
199,49,1,0
200,49,1,0
201,49,1,0
202,49,1,0
203,49,1,0
204,49,1,0
205,49,1,0
206,49,1,0
207,49,1,0
208,49,1,0
209,49,1,0
210,49,1,0
211,49,1,0
212,49,1,0
213,49,1,0
214,49,1,0
215,49,1,0
216,49,1,0
217,49,1,0
218,49,1,0
219,49,1,0
220,49,1,0
221,48,2,0
222,47,3,0
223,47,3,0
224,47,3,0
225,47,3,0
226,47,3,0
227,47,3,0
228,47,3,0
229,47,3,0
230,47,3,0
231,47,3,0
232,47,3,0
233,47,3,0
234,47,3,0
235,47,3,0
236,47,3,0
237,47,3,0
238,47,3,0
239,47,3,0
240,47,3,0
241,47,3,0
242,47,3,0
243,47,3,0
244,47,3,0
245,47,3,0
246,47,3,0
247,47,3,0
248,47,3,0
249,47,3,0
250,47,3,0
251,47,3,0
252,47,3,0
253,47,3,0
254,47,3,0
255,47,3,0
256,47,3,0
257,47,3,0
258,47,3,0
259,47,3,0
260,47,3,0
261,47,3,0
262,47,3,0
263,47,3,0
264,47,3,0
265,47,3,0
266,47,3,0
267,47,3,0
268,47,3,0
269,47,3,0
270,47,3,0
271,47,3,0
272,47,3,0
273,47,3,0
274,47,3,0
275,47,3,0
276,47,3,0
277,47,3,0
278,47,3,0
279,47,3,0
280,47,3,0
281,47,3,0
282,47,3,0
283,47,3,0
284,47,3,0
285,47,3,0
286,47,3,0
287,47,3,0
288,47,3,0
289,47,3,0
290,47,3,0
291,47,3,0
292,47,3,0
293,47,3,0
294,47,3,0
295,47,3,0
296,47,3,0
297,47,3,0
298,47,3,0
299,47,3,0
300,47,3,0
301,47,3,0
302,47,3,0
303,47,3,0
304,47,3,0
305,47,3,0
306,47,3,0
307,47,3,0
308,47,3,0
309,47,3,0
310,47,3,0
311,47,3,0
312,47,3,0
313,47,3,0
314,47,3,0
315,47,3,0
316,47,3,0
317,47,3,0
318,47,3,0
319,47,3,0
320,47,3,0
321,47,3,0
322,47,3,0
323,47,3,0
324,47,3,0
325,47,3,0
326,47,3,0
327,47,3,0
328,47,3,0
329,47,3,0
330,47,3,0
331,47,3,0
332,47,3,0
333,47,3,0
334,47,3,0
335,47,3,0
336,47,3,0
337,47,3,0
338,47,3,0
339,47,3,0
340,47,3,0
