<cur_step>,<num_susceptible>,<num_infected>,<num_recovered>
1,39,1,0
2,39,1,0
3,39,1,0
4,39,1,0
5,39,1,0
6,39,1,0
7,39,1,0
8,39,1,0
9,39,1,0
10,39,1,0
11,39,1,0
12,39,1,0
13,39,1,0
14,39,1,0
15,39,1,0
16,39,1,0
17,39,1,0
18,39,1,0
19,39,1,0
20,39,1,0
21,39,1,0
22,39,1,0
23,39,1,0
24,39,1,0
25,39,1,0
26,39,1,0
27,39,1,0
28,39,1,0
29,39,1,0
30,39,1,0
31,39,1,0
32,39,1,0
33,39,1,0
34,39,1,0
35,39,1,0
36,39,1,0
37,39,1,0
38,39,1,0
39,39,1,0
40,39,1,0
41,39,1,0
42,39,1,0
43,39,1,0
44,39,1,0
45,39,1,0
46,39,1,0
47,39,1,0
48,39,1,0
49,39,1,0
50,39,1,0
51,39,1,0
52,39,1,0
53,39,1,0
54,39,1,0
55,39,1,0
56,39,1,0
57,39,1,0
58,39,1,0
59,39,1,0
60,39,1,0
61,39,1,0
62,39,1,0
63,39,1,0
64,39,1,0
65,39,1,0
66,39,1,0
67,39,1,0
68,39,1,0
69,39,1,0
70,39,1,0
71,39,1,0
72,39,1,0
73,39,1,0
74,39,1,0
75,39,1,0
76,39,1,0
77,39,1,0
78,39,1,0
79,39,1,0
80,39,1,0
81,39,1,0
82,39,1,0
83,39,1,0
84,39,1,0
85,39,1,0
86,39,1,0
87,39,1,0
88,39,1,0
89,39,1,0
90,39,1,0
91,39,1,0
92,39,1,0
93,39,1,0
94,39,1,0
95,39,1,0
96,39,1,0
97,39,1,0
98,39,1,0
99,39,1,0
100,39,1,0
101,39,1,0
102,39,1,0
103,39,1,0
104,39,1,0
105,39,1,0
106,39,1,0
107,39,1,0
108,39,1,0
109,39,1,0
110,39,1,0
111,39,1,0
112,39,1,0
113,39,1,0
114,39,1,0
115,39,1,0
116,39,1,0
117,39,1,0
118,39,1,0
119,39,1,0
120,39,1,0
121,39,1,0
122,39,1,0
123,39,1,0
124,39,1,0
125,39,1,0
126,39,1,0
127,39,1,0
128,39,1,0
129,39,1,0
130,39,1,0
131,39,1,0
132,39,1,0
133,39,1,0
134,39,1,0
135,39,1,0
136,39,1,0
137,39,1,0
138,39,1,0
139,39,1,0
140,39,1,0
141,39,1,0
142,39,1,0
143,39,1,0
144,39,1,0
145,39,1,0
146,39,1,0
147,39,1,0
148,39,1,0
149,39,1,0
150,39,1,0
151,39,1,0
152,39,1,0
153,39,1,0
154,39,1,0
155,39,1,0
156,39,1,0
157,39,1,0
158,39,1,0
159,39,1,0
160,39,1,0
161,39,1,0
162,39,1,0
163,39,1,0
164,39,1,0
165,39,1,0
166,39,1,0
167,39,1,0
168,39,1,0
169,39,1,0
170,39,1,0
171,39,1,0
172,39,1,0
173,39,1,0
174,39,1,0
175,39,1,0
176,39,1,0
177,39,1,0
178,39,1,0
179,39,1,0
180,39,1,0
181,39,1,0
182,39,1,0
183,39,1,0
184,39,1,0
185,39,1,0
186,39,1,0
187,39,1,0
188,39,1,0
189,39,1,0
190,39,1,0
191,39,1,0
192,39,1,0
193,39,1,0
194,39,1,0
195,39,1,0
196,39,1,0
197,39,1,0
198,39,1,0
199,39,1,0
200,39,1,0
201,39,1,0
202,39,1,0
203,39,1,0
204,39,1,0
205,39,1,0
206,39,1,0
207,39,1,0
208,39,1,0
209,39,1,0
210,39,1,0
211,39,1,0
212,39,1,0
213,39,1,0
214,39,1,0
215,39,1,0
216,39,1,0
217,39,1,0
218,39,1,0
219,39,1,0
220,39,1,0
221,39,1,0
222,39,1,0
223,39,1,0
224,39,1,0
225,39,1,0
226,39,1,0
227,39,1,0
228,39,1,0
229,39,1,0
230,39,1,0
231,39,1,0
232,39,1,0
233,39,1,0
234,39,1,0
235,39,1,0
236,39,1,0
237,39,1,0
238,39,1,0
239,39,1,0
240,39,1,0
241,39,1,0
242,39,1,0
243,39,1,0
244,39,1,0
245,39,1,0
246,39,1,0
247,39,1,0
248,39,1,0
249,39,1,0
250,39,1,0
251,39,1,0
252,39,1,0
253,39,1,0
254,39,1,0
255,39,1,0
256,39,1,0
257,39,1,0
258,39,1,0
259,39,1,0
260,39,1,0
261,39,1,0
262,39,1,0
263,39,1,0
264,39,1,0
265,39,1,0
266,39,1,0
267,39,1,0
268,39,1,0
269,39,1,0
270,39,1,0
271,39,1,0
272,39,1,0
273,39,1,0
274,39,1,0
275,39,1,0
276,39,1,0
277,39,1,0
278,39,1,0
279,39,1,0
280,39,1,0
281,39,1,0
282,39,1,0
283,39,1,0
284,39,1,0
285,39,1,0
286,39,1,0
287,39,1,0
288,39,1,0
289,39,1,0
290,39,1,0
291,39,1,0
292,39,1,0
293,39,1,0
294,39,1,0
295,39,1,0
296,39,1,0
297,39,1,0
298,39,1,0
299,39,1,0
300,39,1,0
301,39,1,0
302,39,1,0
303,39,1,0
304,39,1,0
305,39,1,0
306,39,1,0
307,39,1,0
308,39,1,0
309,39,1,0
310,39,1,0
311,39,1,0
312,39,1,0
313,39,1,0
314,39,1,0
315,39,1,0
316,39,1,0
317,39,1,0
318,39,1,0
319,39,1,0
320,39,1,0
321,39,1,0
322,39,1,0
323,39,1,0
324,39,1,0
325,39,1,0
326,39,1,0
327,39,1,0
328,39,1,0
329,39,1,0
330,39,1,0
331,39,1,0
332,39,1,0
333,39,1,0
334,39,1,0
335,39,1,0
336,39,1,0
337,39,1,0
338,39,1,0
339,39,1,0
340,39,1,0
341,39,1,0
342,39,1,0
343,39,1,0
344,39,1,0
345,39,1,0
346,39,1,0
347,39,1,0
348,39,1,0
349,39,1,0
350,39,1,0
351,39,1,0
352,39,1,0
353,39,1,0
354,39,1,0
355,39,1,0
356,39,1,0
357,39,1,0
358,39,1,0
359,39,1,0
360,39,1,0
361,39,1,0
362,39,1,0
363,39,1,0
364,39,1,0
365,39,1,0
366,39,1,0
367,39,1,0
368,39,1,0
369,39,1,0
370,39,1,0
371,39,1,0
372,39,1,0
373,39,1,0
374,39,1,0
375,39,1,0
376,39,1,0
377,39,1,0
378,39,1,0
379,39,1,0
380,39,1,0
381,39,1,0
382,39,1,0
383,39,1,0
384,39,1,0
385,39,1,0
386,39,1,0
387,39,1,0
388,39,1,0
389,39,1,0
390,39,1,0
391,39,1,0
392,39,1,0
393,39,1,0
394,39,1,0
395,39,1,0
396,39,1,0
397,39,1,0
398,39,1,0
399,39,1,0
400,39,1,0
401,39,1,0
402,39,1,0
403,39,1,0
404,39,1,0
405,39,1,0
406,39,1,0
407,39,1,0
408,39,1,0
409,39,1,0
410,39,1,0
411,39,1,0
412,39,1,0
413,39,1,0
414,39,1,0
415,39,1,0
416,39,1,0
417,39,1,0
418,39,1,0
419,39,1,0
420,39,1,0
421,39,1,0
422,39,1,0
423,39,1,0
424,39,1,0
425,39,1,0
426,39,1,0
427,39,1,0
428,39,1,0
429,39,1,0
430,39,1,0
431,39,1,0
432,39,1,0
433,39,1,0
434,39,1,0
435,39,1,0
436,39,1,0
437,39,1,0
438,39,1,0
